Abitibi (Que.),"",24613,,25280,,9998,
Abitibi-Ouest (Que.),"",21984,,23571,,9916,
Acton (Que.),"",15167,,15303,,6443,
Alberni-Clayoquot Regional District (B.C.),"",30345,,31652,,13603,
Albert County (N.B.),"",26749,,26492,,10705,
Algoma District (Ont.)  †,"",118567,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,125455,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,59400,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.
Annapolis County (N.S.),"",21773,,22324,,10404,
Antigonish County (N.S.),"",19578,,19554,,8377,
Antoine-Labelle (Que.),"",33456,,33904,,20803,
Argenteuil (Que.),"",28931,,28568,Adjusted figure due to boundary change.,16069,
Arthabaska (Que.),"",64089,,62917,,27471,
Asbestos (Que.),"",14535,,15005,,6915,
Avignon (Que.),"",15268,,15898,,7093,
Baffin Region (Nvt.),"",14372,,13218,Adjusted figure due to boundary change.,4560,
Beauce-Sartigan (Que.),"",47873,,46318,,19293,
Beauharnois-Salaberry (Que.),"",59137,,59769,,25986,
Bellechasse (Que.),"",29570,,29674,,13109,
Bonaventure (Que.),"",18267,,19550,,7808,
Brant County (Ont.)  †,"",118485,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,114564,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,46367,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.
Brome-Missisquoi (Que.),"",46165,,45987,,22500,
Bruce County (Ont.),"",63892,,65680,,36864,
Bulkley-Nechako Regional District (B.C.),"",40856,,41642,,16896,
Bécancour (Que.),"",19088,,19683,,8500,
Cape Breton County (N.S.),"",109330,,117849,,46461,
Capital Regional District (B.C.)  †,"",325754,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,317989,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,151461,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.
Cariboo Regional District (B.C.),"",65659,,66475,,30048,
Carleton County (N.B.),"",27184,,26910,,10811,
Central Coast Regional District (B.C.),"",3781,,3921,,1556,
Central Kootenay Regional District (B.C.),"",57019,,58099,,27089,
Central Okanagan Regional District (B.C.),"",147739,,136541,,62675,
Champlain (Que.),"",311838,,314306,,132367,
Charlevoix (Que.),"",13166,,13437,,5924,
Charlevoix-Est (Que.),"",16624,,16941,,6893,
Charlotte County (N.B.),"",27366,,27335,,12426,
Chatham-Kent Division (Ont.),"",107709,,109650,,45407,
Coaticook (Que.),"",16595,,16465,Adjusted figure due to boundary change.,7018,
Cochrane District (Ont.)  †,"",85247,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,93240,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,37733,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.
Colchester County (N.S.),"",49307,,49262,,22086,
Columbia-Shuswap Regional District (B.C.),"",48219,,48116,,24726,
Communauté-Urbaine-de-Montréal (Que.),"",1812723,,1775846,,843985,
Communauté-Urbaine-de-Québec (Que.),"",509950,,504605,,238531,
Communauté-Urbaine-de-l'Outaouais (Que.),"",226696,,217591,Adjusted figure due to boundary change.,94124,
Comox-Strathcona Regional District (B.C.),"",96131,,97666,,44153,
Cowichan Valley Regional District (B.C.),"",71998,,70978,,31149,
Cumberland County (N.S.),"",32605,,33804,,15954,
D'Autray (Que.),"",38347,,37558,Adjusted figure due to boundary change.,17733,
Desjardins (Que.),"",51855,,51222,,22663,
Deux-Montagnes (Que.)  †,"",81417,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,78960,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,31295,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.
Digby County (N.S.),"",19548,,20500,,9837,
Division No. 1 (Nfld.Lab.),"",242875,,251523,,103219,
Division No. 1 (Man.),"",16432,,16233,,16050,
Division No. 1 (Sask.),"",30238,,32291,,14509,
Division No. 1 (Alta.),"",67402,,62330,,27595,
Division No. 2 (Nfld.Lab.),"",24371,,27723,,11922,
Division No. 2 (Man.),"",50869,,48039,,17439,
Division No. 2 (Sask.),"",21635,,23121,,9860,
Division No. 2 (Alta.),"",133913,,125179,,52023,
Division No. 3 (Nfld.Lab.),"",19370,,22459,,8067,
Division No. 3 (Man.),"",42184,,40485,,15351,
Division No. 3 (Sask.),"",14839,,16469,,6963,
Division No. 3 (Alta.),"",37580,,37764,,13778,
Division No. 4 (Nfld.Lab.),"",22162,,24824,,10948,
Division No. 4 (Man.),"",9942,,10411,,4019,
Division No. 4 (Sask.),"",11714,,12313,,5276,
Division No. 4 (Alta.),"",11300,,12046,,4672,
Division No. 5 (Nfld.Lab.),"",40466,,44319,,17600,
Division No. 5 (Man.),"",13848,,14766,,7026,
Division No. 5 (Sask.),"",32492,,35032,,15547,
Division No. 5 (Alta.),"",47606,,43565,,17502,
Division No. 6 (Nfld.Lab.),"",36208,,39118,,16118,
Division No. 6 (Man.),"",10110,,10510,,4472,
Division No. 6 (Sask.),"",219250,,220602,,94834,
Division No. 6 (Alta.),"",1021060,,880859,,394884,
Division No. 7 (Nfld.Lab.),"",37335,,41534,,19136,
Division No. 7 (Man.),"",57148,,57219,,24488,
Division No. 7 (Sask.),"",46982,,49297,,21851,
Division No. 7 (Alta.),"",40407,,41169,,16491,
Division No. 8 (Nfld.Lab.),"",42188,,48247,,20711,
Division No. 8 (Man.),"",14603,,14891,,5228,
Division No. 8 (Sask.),"",30720,,31643,,14235,
Division No. 8 (Alta.),"",153049,,133592,,61040,
Division No. 9 (Nfld.Lab.),"",20091,,22855,,9080,
Division No. 9 (Man.)  †,"",23322,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,23195,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,9222,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.
Division No. 9 (Sask.),"",36895,,38562,,18294,
Division No. 9 (Alta.),"",19573,,18196,,7700,
Division No. 10 (Nfld.Lab.),"",27864,,29190,,10769,
Division No. 10 (Man.),"",9464,,8901,,2843,
Division No. 10 (Sask.),"",19365,,20770,,9141,
Division No. 10 (Alta.),"",83061,,80028,,34536,
Division No. 11 (Man.),"",621451,,620064,,261900,
Division No. 11 (Sask.),"",237629,,231970,,100774,
Division No. 11 (Alta.)  †,"",975477,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,898888,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,388187,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.
Division No. 12 (Man.),"",19251,,18708,,7300,
Division No. 12 (Sask.),"",23697,,24239,Adjusted figure due to boundary change.,9595,
Division No. 12 (Alta.)  †,"",58362,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,56499,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,24114,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.
Division No. 13 (Man.),"",42183,,39422,,17918,
Division No. 13 (Sask.),"",24054,,25073,Adjusted figure due to boundary change.,10247,
Division No. 13 (Alta.),"",63954,,62569,,29374,
Division No. 14 (Man.),"",17589,,17054,,6342,
Division No. 14 (Sask.),"",39476,,40799,,18338,
Division No. 14 (Alta.),"",26871,,27452,,11084,
Division No. 15 (Man.),"",21914,,22477,,11358,
Division No. 15 (Sask.),"",80668,,80666,,35399,
Division No. 15 (Alta.),"",34068,,30800,,15237,
Division No. 16 (Man.),"",10341,,10690,,4737,
Division No. 16 (Sask.),"",37663,,37758,,17304,
Division No. 16 (Alta.),"",42971,,36494,,15273,
Division No. 17 (Man.),"",22899,,23975,,11551,
Division No. 17 (Sask.)  †,"",39587,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,38528,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,18372,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.
Division No. 17 (Alta.)  †,"",57508,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,54709,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,20150,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.
Division No. 18 (Man.),"",22593,,22278,,14288,
Division No. 18 (Sask.),"",32029,,31104,,11089,
Division No. 18 (Alta.),"",14346,,15022,,5358,
Division No. 19 (Man.),"",15805,,14722,,6478,
Division No. 19 (Alta.),"",86299,,79665,,32843,
Division No. 20 (Man.),"",11013,,11446,,5201,
Division No. 21 (Man.),"",22556,,23150,,9403,
Division No. 22 (Man.),"",35077,,35584,,11073,
Division No. 23 (Man.),"",8989,,9678,,3398,
Drummond (Que.),"",87808,,83946,Adjusted figure due to boundary change.,38271,
Dufferin County (Ont.),"",51013,,45657,,18160,
Durham Regional Municipality (Ont.),"",506901,,458616,,175738,
East Kootenay Regional District (B.C.),"",56291,,56366,,28649,
Elgin County (Ont.),"",81553,,79159,,31800,
Essex County (Ont.),"",374975,,350329,,149744,
Fort Smith Region (N.W.T.),"",28824,,30225,,11225,
Francheville (Que.),"",138355,,140541,,65022,
Fraser Valley Regional District (B.C.),"",237550,,222397,,90799,
Fraser-Fort George Regional District (B.C.),"",95317,,98974,,38897,
Frontenac County (Ont.),"",138606,,136365,,66606,
Gloucester County (N.B.),"",82929,,87601,,34948,
Greater Sudbury Division (Ont.),"",155268,,165362,Adjusted figure due to boundary change.,68710,
Greater Vancouver Regional District (B.C.),"",1986965,,1831665,,786277,
Grey County (Ont.),"",89073,,87621,Adjusted figure due to boundary change.,42396,
Guysborough County (N.S.),"",9827,,10917,,5286,
Haldimand-Norfolk Regional Municipality (Ont.)  †,"",104670,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,102575,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,42907,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.
Haliburton County (Ont.),"",15085,,15321,,19932,
Halifax County (N.S.),"",359183,,342966,,153353,
Halton Regional Municipality (Ont.),"",375229,,339875,,136668,
Hamilton Division (Ont.),"",490268,,467799,,194154,
Hants County (N.S.),"",40513,,39483,,16490,
Hastings County (Ont.)  †,"",125915,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,126099,Adjusted figure due to boundary change.,58257,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.
Huron County (Ont.),"",59701,,60220,,26330,
