Albertaʠ,"",639987.12,4.6,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.
British Columbiaʠ,"",926492.48,4.2,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.
Manitobaʠ,"",551937.87,2.0,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.
New Brunswick,"",71355.67,10.2,
Newfoundland and Labrador,"",370501.69,1.4,
Northwest Territories,"",1141108.37,0.0,
Nova Scotia,"",52917.43,17.2,
Nunavut,"",1925460.18,0.0,
Ontarioʠ,"",907655.59,12.6,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.
Prince Edward Island,"",5684.39,23.8,
Quebecʠ,"",1357743.08,5.3,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.
Saskatchewanʠ,"",586561.35,1.7,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.
Yukon Territory,"",474706.97,0.1,
