105 Mile Post 2 (B.C.),R,13.76,0.7,
Abbey (Sask.),VL,0.77,177.6,
Abbotsford (B.C.),C,359.18,321.5,
Abercorn (Que.),VL,27.22,12.1,
Aberdeen (N.B.),PAR,447.91,2.4,
Aberdeen (Sask.),T,1.95,273.7,
Aberdeen No. 373 (Sask.),RM,671.37,1.2,
Abernethy (Sask.),VL,1.03,206.4,
Abernethy No. 186 (Sask.),RM,779.96,0.6,
Abitibi 70 (Ont.),R,78.7,1.6,
Abrams Village (P.E.I.),COM,1.37,250.0,
Acadia No. 34 (Alta.),MD,1076.28,0.5,
Acadieville (N.B.),PAR,331.67,2.8,
Acme (Alta.),VL,2.48,261.8,
Acton Vale (Que.),V,90.74,80.4,
Addington (N.B.),PAR,1025.03,2.9,
Addington Highlands (Ont.),TP,1288.85,1.9,
Adelaide Metcalfe (Ont.),TP,331.84,9.5,
Adjala-Tosorontio (Ont.),TP,372.33,27.1,
Admaston/Bromley (Ont.),TP,520.51,5.4,
Admiral (Sask.),VL,1.96,12.8,
Admirals Beach (Nfld.Lab.),T,24.42,8.7,
Agats Meadow 8 (B.C.),R,1.21,4.1,
Agency 1 (Ont.),R,1.42,0.0,
Aguanish (Que.),M,600.64,0.6,
Ahahswinis 1 (B.C.),R,0.4,294.9,
Ahaminaquus 12 (B.C.),R,0.14,0.0,
Ahtahkakoop 104 (Sask.),R,177.53,6.2,
Air Ronge (Sask.),NV,6.0,159.2,
Airdrie (Alta.),C,21.48,949.0,
Aitchelitch 9 (B.C.),R,0.18,99.1,
Aiyansh (Kitladamas) 1 (B.C.),NVL,13.38,0.0,
Ajax (Ont.),T,67.09,1099.3,
Aklavik (N.W.T.),HAM,8.15,77.5,
Akulivik (Que.),VN,76.87,6.1,
Akulivik (Que.),TI,445.73,0.0,
Akwesasne (Part) 59 (Ont.) ʦ,R,11.86,0.0,Incompletely enumerated Indian reserve or Indian settlement.
Akwesasne (Partie) (Que.) ʦ,R,24.78,0.0,Incompletely enumerated Indian reserve or Indian settlement.
Alameda (Sask.),T,2.55,121.8,
Albanel (Que.),M,198.48,12.4,
Alberni 2 (B.C.),R,0.53,18.7,
Alberni-Clayoquot A (B.C.),RDA,1658.08,0.2,
Alberni-Clayoquot B (B.C.),RDA,92.53,5.4,
Alberni-Clayoquot C (B.C.),RDA,3210.69,0.1,
Alberni-Clayoquot D (B.C.),RDA,1403.97,1.4,
Alberni-Clayoquot E (B.C.),RDA,22.0,126.3,
Alberni-Clayoquot F (B.C.),RDA,186.6,10.2,
Albert (Man.),RM,769.55,0.5,
Albert Flat 5 (B.C.),R,0.87,24.2,
Alberta Beach (Alta.),VL,1.98,384.8,
Alberton (P.E.I.),T,4.5,247.6,
Alberton (Ont.),TP,115.3,8.3,
Albertville (Que.),M,102.27,3.3,
Albertville (Sask.),VL,1.11,119.3,
Alderville First Nation (Ont.),R,12.28,29.2,
Alert Bay (B.C.),VL,1.82,319.7,
Alert Bay 1 (B.C.),R,0.25,1127.6,
Alert Bay 1A (B.C.),R,1.73,237.9,
Alexander (Man.),RM,1568.66,1.8,
Alexander 134 (Alta.),R,68.71,12.2,
Alexandria 1 (B.C.),R,1.38,7.3,
Alexandria 1A (B.C.),R,0.99,0.0,
Alexandria 3 (B.C.),R,4.95,0.0,
Alexandria 3A (B.C.),R,1.35,19.2,
Alexis 133 (Alta.),R,54.66,14.8,
Alexis 9 (B.C.),R,1.88,8.0,
Alexis Creek 6 (B.C.),R,0.92,0.0,
Alexis Creek 14 (B.C.),R,1.69,0.0,
Alexis Creek 16 (B.C.),R,0.34,0.0,
Alexis Creek 17 (B.C.),R,1.97,0.0,
Alexis Creek 21 (B.C.),R,3.61,0.0,
Alexis Creek 24 (B.C.),R,0.74,0.0,
Alexis Creek 25 (B.C.),R,0.33,0.0,
Alexis Creek 34 (B.C.),R,1.32,0.0,
Alfred and Plantagenet (Ont.),TP,391.7,21.9,
"Algoma, Unorganized, North Part (Ont.)",UNO,44132.64,0.1,
"Algoma, Unorganized, South East Part (Ont.)",UNO,41.71,0.0,
Alice Beach (Sask.),RV,0.71,77.8,
Alida (Sask.),VL,0.35,338.0,
Alix (Alta.),VL,3.15,262.3,
Alkali Lake 1 (B.C.),R,2.53,156.2,
Alkali Lake 4A (B.C.),R,1.42,3.5,
Allan (Sask.),T,1.78,380.6,
Allardville (N.B.),PAR,655.12,3.7,
Alleyn-et-Cawood (Que.),CU,314.58,0.6,
Alliance (Alta.),VL,0.64,265.5,
Allison Bay 219 (Alta.),R,17.41,6.4,
Alma (N.B.),VL,47.64,6.1,
Alma (N.B.),PAR,222.79,0.0,
Alma (Que.),V,109.28,237.2,
Alnwick (N.B.),PAR,725.17,9.1,
Alnwick/Haldimand (Ont.),TP,398.33,14.7,
Alonsa (Man.),RM,2977.5,0.6,
Alsask (Sask.),VL,1.66,107.5,
Altona (Man.),T,9.39,365.8,
Alvena (Sask.),VL,0.43,200.1,
Amaranth (Ont.),TP,264.52,14.3,
Amherst (N.S.),T,12.02,787.9,
Amherst (Que.),CT,231.12,5.3,
Amherstburg (Ont.),T,185.67,109.5,
Amisk (Alta.),VL,0.76,237.9,
Amos (Que.),V,430.27,30.3,
Amqui (Que.),V,120.81,53.6,
Anacla 12 (B.C.),R,0.96,87.3,
Anahim's Flat 1 (B.C.),R,38.9,9.9,
Anahim's Meadow 2 (B.C.),R,2.69,5.6,
Anahim's Meadow 2A (B.C.),R,1.57,0.0,
Anchor Point (Nfld.Lab.),T,2.41,132.7,
Andover (N.B.),PAR,123.31,8.1,
Andrew (Alta.),VL,1.23,395.0,
Andy Cahoose Meadow 16 (B.C.),R,2.67,0.0,
Aneroid (Sask.),VL,1.05,53.2,
Ange-Gardien (Que.),M,89.9,22.2,
Angliers (Que.),VL,297.22,1.1,
Anjou (Que.),V,13.62,2791.1,
Anmore (B.C.),VL,27.42,49.0,
Annaheim (Sask.),VL,0.78,277.9,
Annapolis Royal (N.S.),T,2.05,268.0,
"Annapolis, Subd. A (N.S.)",SCM,614.12,10.7,
"Annapolis, Subd. B (N.S.)",SCM,373.62,10.1,
"Annapolis, Subd. C (N.S.)",SCM,207.56,24.5,
"Annapolis, Subd. D (N.S.)",SCM,1975.31,1.5,
Antelope Park No. 322 (Sask.),RM,612.08,0.3,
Antigonish (N.S.),T,5.15,923.9,
"Antigonish, Subd. A (N.S.)",SCM,927.84,8.3,
"Antigonish, Subd. B (N.S.)",SCM,522.24,13.1,
Antler (Sask.),VL,0.72,62.4,
Antler No. 61 (Sask.),RM,832.23,0.7,
Appleton (Nfld.Lab.),T,6.39,90.1,
Apsagayu 1A (B.C.),R,0.09,0.0,
Aquadeo (Sask.),RV,0.71,87.1,
Aquaforte (Nfld.Lab.),T,6.82,19.5,
Arborfield (Sask.),T,0.88,467.2,
Arborfield No. 456 (Sask.),RM,1416.01,0.3,
Arborg (Man.),T,2.26,424.6,
Archerwill (Sask.),VL,0.83,260.3,
Archie (Man.),RM,577.68,0.7,
Arcola (Sask.),T,2.59,205.4,
Arctic Bay (Nvt.),HAM,247.5,2.6,
Arelee (Sask.),VL,0.35,43.5,
Argentia Beach (Alta.),SV,0.69,34.6,
Argyle (N.S.),MD,1518.76,5.7,
Argyle (Man.),RM,770.42,1.5,
Argyle No. 1 (Sask.),RM,579.46,0.5,
Arlington No. 79 (Sask.),RM,846.17,0.4,
Arm River No. 252 (Sask.),RM,724.45,0.4,
Armagh (Que.),M,168.36,9.5,
Armour (Ont.),TP,164.1,8.1,
Armstrong (Ont.),TP,90.33,13.5,
Armstrong (Man.),RM,1864.96,1.0,
Armstrong (B.C.),C,5.23,813.5,
Arnold's Cove (Nfld.Lab.),T,4.93,207.9,
Arnprior (Ont.),T,13.03,552.0,
Arntfield (Que.),M,396.52,1.2,
Aroland 83 (Ont.),R,3.21,107.8,
Aroostook (N.B.),VL,2.24,169.7,
Arran (Sask.),VL,0.69,80.0,
