105 Mile Post 2 (B.C.),R,10,,5,,3,
Abbey (Sask.),VL,137,,162,,90,
Abbotsford (B.C.),C,115463,,105403,,41352,
Abercorn (Que.),VL,330,,344,,158,
Aberdeen (N.B.),PAR,1065,,1141,,459,
Aberdeen (Sask.),T,534,,474,,196,
Aberdeen No. 373 (Sask.),RM,816,,758,,297,
Abernethy (Sask.),VL,213,,232,,116,
Abernethy No. 186 (Sask.),RM,433,,497,,184,
Abitibi 70 (Ont.),R,127,,92,,38,
Abrams Village (P.E.I.),COM,342,,328,,125,
Acadia No. 34 (Alta.),MD,512,,533,,184,
Acadieville (N.B.),PAR,944,,1014,,349,
Acme (Alta.),VL,648,,600,,278,
Acton Vale (Que.),V,7299,,7172,Adjusted figure due to boundary change.,3240,
Addington (N.B.),PAR,2982,,3014,,1099,
Addington Highlands (Ont.),TP,2402,,2429,Adjusted figure due to boundary change.,2315,
Adelaide Metcalfe (Ont.),TP,3149,,3128,Adjusted figure due to boundary change.,1012,
Adjala-Tosorontio (Ont.),TP,10082,,9359,Adjusted figure due to boundary change.,4146,
Admaston/Bromley (Ont.),TP,2824,,2837,Adjusted figure due to boundary change.,1171,
Admiral (Sask.),VL,25,,34,,10,
Admirals Beach (Nfld.Lab.),T,212,,255,,86,
Agats Meadow 8 (B.C.),R,5,,0,,2,
Agency 1 (Ont.),R,0,,67,,0,
Aguanish (Que.),M,343,,380,,141,
Ahahswinis 1 (B.C.),R,117,,101,,40,
Ahaminaquus 12 (B.C.),R,0,,134,,0,
Ahtahkakoop 104 (Sask.),R,1099,,1019,,285,
Air Ronge (Sask.),NV,955,,957,,354,
Airdrie (Alta.),C,20382,,15946,,6897,
Aitchelitch 9 (B.C.),R,18,,22,,6,
Aiyansh (Kitladamas) 1 (B.C.),NVL,0,,0,Adjusted figure due to boundary change.,0,
Ajax (Ont.),T,73753,,64430,,23642,
Aklavik (N.W.T.),HAM,632,,727,,261,
Akulivik (Que.),VN,472,,411,,101,
Akulivik (Que.),TI,0,,0,,0,
Akwesasne (Part) 59 (Ont.) ʦ,R,0,Incompletely enumerated Indian reserve or Indian settlement.,0,Incompletely enumerated Indian reserve or Indian settlement.,0,Incompletely enumerated Indian reserve or Indian settlement.
Akwesasne (Partie) (Que.) ʦ,R,0,Incompletely enumerated Indian reserve or Indian settlement.,0,Incompletely enumerated Indian reserve or Indian settlement.,0,Incompletely enumerated Indian reserve or Indian settlement.
Alameda (Sask.),T,311,,304,,142,
Albanel (Que.),M,2455,,2540,,858,
Alberni 2 (B.C.),R,10,,8,,3,
Alberni-Clayoquot A (B.C.),RDA,285,,387,Adjusted figure due to boundary change.,318,
Alberni-Clayoquot B (B.C.),RDA,502,,511,Adjusted figure due to boundary change.,194,
Alberni-Clayoquot C (B.C.),RDA,369,,355,Adjusted figure due to boundary change.,196,
Alberni-Clayoquot D (B.C.),RDA,2016,,2053,Adjusted figure due to boundary change.,954,
Alberni-Clayoquot E (B.C.),RDA,2779,,3000,Adjusted figure due to boundary change.,1156,
Alberni-Clayoquot F (B.C.),RDA,1897,,2026,Adjusted figure due to boundary change.,807,
Albert (Man.),RM,382,,475,,177,
Albert Flat 5 (B.C.),R,21,,13,,8,
Alberta Beach (Alta.),VL,762,,640,,725,
Alberton (P.E.I.),T,1115,,1084,,487,
Alberton (Ont.),TP,956,,1027,,343,
Albertville (Que.),M,337,,364,,133,
Albertville (Sask.),VL,132,,122,,47,
Alderville First Nation (Ont.),R,358,,363,,168,
Alert Bay (B.C.),VL,583,,612,,273,
Alert Bay 1 (B.C.),R,281,,204,,106,
